icofont-addons,addons
icofont-address-book,address-book
icofont-adjust,adjust
icofont-alarm,alarm
icofont-anchor,anchor
icofont-archive,archive
icofont-at,at
icofont-attachment,attachment
icofont-audio,audio
icofont-automation,automation
icofont-badge,badge
icofont-bag-alt,bag-alt
icofont-bag,bag
icofont-ban,ban
icofont-bar-code,bar-code
icofont-bars,bars
icofont-basket,basket
icofont-battery-empty,battery-empty
icofont-battery-full,battery-full
icofont-battery-half,battery-half
icofont-battery-low,battery-low
icofont-beaker,beaker
icofont-beard,beard
icofont-bed,bed
icofont-bell,bell
icofont-beverage,beverage
icofont-bill,bill
icofont-bin,bin
icofont-binary,binary
icofont-binoculars,binoculars
icofont-bluetooth,bluetooth
icofont-bomb,bomb
icofont-book-mark,book-mark
icofont-box,box
icofont-briefcase,briefcase
icofont-broken,broken
icofont-bucket,bucket
icofont-bucket1,bucket1
icofont-bucket2,bucket2
icofont-bug,bug
icofont-building,building
icofont-bulb-alt,bulb-alt
icofont-bullet,bullet
icofont-bullhorn,bullhorn
icofont-bullseye,bullseye
icofont-calendar,calendar
icofont-camera-alt,camera-alt
icofont-camera,camera
icofont-card,card
icofont-cart-alt,cart-alt
icofont-cart,cart
icofont-cc,cc
icofont-charging,charging
icofont-chat,chat
icofont-check-alt,check-alt
icofont-check-circled,check-circled
icofont-check,check
icofont-checked,checked
icofont-children-care,children-care
icofont-clip,clip
icofont-clock-time,clock-time
icofont-close-circled,close-circled
icofont-close-line-circled,close-line-circled
icofont-close-line-squared-alt,close-line-squared-alt
icofont-close-line-squared,close-line-squared
icofont-close-line,close-line
icofont-close-squared-alt,close-squared-alt
icofont-close-squared,close-squared
icofont-close,close
icofont-cloud-download,cloud-download
icofont-cloud-refresh,cloud-refresh
icofont-cloud-upload,cloud-upload
icofont-cloud,cloud
icofont-code-not-allowed,code-not-allowed
icofont-code,code
icofont-comment,comment
icofont-compass-alt,compass-alt
icofont-compass,compass
icofont-computer,computer
icofont-connection,connection
icofont-console,console
icofont-contacts,contacts
icofont-contrast,contrast
icofont-copyright,copyright
icofont-credit-card,credit-card
icofont-crop,crop
icofont-crown,crown
icofont-cube,cube
icofont-cubes,cubes
icofont-dashboard-web,dashboard-web
icofont-dashboard,dashboard
icofont-data,data
icofont-database-add,database-add
icofont-database-locked,database-locked
icofont-database-remove,database-remove
icofont-database,database
icofont-delete,delete
icofont-diamond,diamond
icofont-dice-multiple,dice-multiple
icofont-dice,dice
icofont-disc,disc
icofont-diskette,diskette
icofont-document-folder,document-folder
icofont-download-alt,download-alt
